AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Laharighat,81,GEN,Marigaon,Dr. Nazrul Islam,Indian National Congress,160596,138940,86.50%,5806,4.20%
Lahowal,117,GEN,Dibrugarh,Rituparna Baruah,Bharatiya Janta Party,127443,106538,83.60%,19599,18.40%
Lakhimpur,111,GEN,Lakhimpur,Utpal Dutta,Asom Gana Parisad,159992,134630,84.10%,4155,3.10%
Lakhipur,13,GEN,Cachar,Rajdeep Goala,Indian National Congress,143262,108029,75.40%,24367,22.60%
Lumding,92,GEN,Nagaon,Sibu Misra,Bharatiya Janta Party,182205,155292,85.20%,30400,19.60%
Mahmara,105,GEN,Sibsagar,Jogen Mohan,Bharatiya Janta Party,120107,101433,84.50%,14325,14.10%
Majbat,70,GEN,Udalguri,Charan Boro,Bodaland Peoples Front,132619,110058,83.00%,26218,23.80%
Majuli,99,ST,Jorhat,Sarbananda Sonowal,Bharatiya Janta Party,114516,96774,84.50%,18923,19.60%
Mangaldoi,67,SC,Darrang,Gurujyoti Das,Bharatiya Janta Party,200056,176352,88.20%,22045,12.50%
Mankachar,21,GEN,Dhubri,Dr. Motiur Rohman Mondal,Indian National Congress,182785,170790,93.40%,4313,2.50%
Margherita,124,GEN,Tinsukia,Bhaskar Sharma,Bharatiya Janta Party,162775,134603,82.70%,22744,16.90%
Mariani,101,GEN,Jorhat,Rupjyoti Kurmi,Indian National Congress,106473,88935,83.50%,1793,2.00%
Marigaon,80,GEN,Marigaon,Rama Kanta Dewri,Bharatiya Janta Party,165874,140422,84.70%,29623,21.10%
Moran,115,GEN,Dibrugarh,Chakradhar Gogoi,Bharatiya Janta Party,120415,99138,82.30%,16231,16.40%
Naharkatia,120,GEN,Dibrugarh,Naren Sonowal (BOTALI),Asom Gana Parisad,117682,96785,82.20%,3531,3.60%
Nalbari,59,GEN,Nalbari,Ashok Sarma,Bharatiya Janta Party,180991,155959,86.20%,53044,34.00%
Naoboicha,110,GEN,Lakhimpur,Mamun Imdadul Haque Chawdhury,All India United Democratic Front,184078,161060,87.50%,1233,0.80%
Nazira,104,GEN,Sibsagar,Debabrata Saikia,Indian National Congress,118794,96891,81.60%,14855,15.30%
Nowgong,86,GEN,Nagaon,Rupak Sarmah,Bharatiya Janta Party,166508,139873,84.00%,13264,9.50%
Palasbari,50,GEN,Kamrup,Sri Pranab Kalita,Bharatiya Janta Party,138002,119871,86.90%,48742,40.70%
Panery,64,GEN,Udalguri,Kamali Basumatari,Bodaland Peoples Front,132231,105186,79.50%,15802,15.00%
Patacharkuchi,42,GEN,Barpeta,Pabindra Deka,Asom Gana Parisad,129362,103549,80.00%,51976,50.20%
Patharkandi,2,GEN,Karimganj,Krishnendu Paul,Bharatiya Janta Party,154924,121664,78.50%,9268,7.60%
Raha,82,SC,Nagaon,Dimbeswar Das,Bharatiya Janta Party,188650,159575,84.60%,33074,20.70%
Rangapara,74,GEN,Sonitpur,Pallab Lochan Das,Bharatiya Janta Party,136654,115164,84.30%,22991,20.00%
Rangia,57,GEN,Kamrup,Bhabesh Kalita,Bharatiya Janta Party,169500,142395,84.00%,32067,22.50%
Ratabari,1,SC,Karimganj,Kripanath Mallah,Bharatiya Janta Party,147856,111719,75.60%,24526,22.00%
Rupohihat,85,GEN,Nagaon,Nurul Huda,Indian National Congress,167578,152092,90.80%,21844,14.40%
Sadiya,126,GEN,Tinsukia,Bolin Chetia,Bharatiya Janta Party,156238,118804,76.00%,6566,5.50%
Salmara South,22,GEN,Dhubri,Wazed Ali Choudhury,Indian National Congress,157525,146516,93.00%,16723,11.40%
Samaguri,88,GEN,Nagaon,Rakibul Hussain,Indian National Congress,142126,126783,89.20%,14515,11.40%
Sarukhetri,46,GEN,Barpeta,Jakir Hussain Sikdar,Indian National Congress,175014,154716,88.40%,24247,15.70%
Sarupathar,94,GEN,Golaghat,Roselina Tirkey,Indian National Congress,226080,183051,81.00%,2927,1.60%
Sibsagar,108,GEN,Sibsagar,Pranab Kumar Gogoi,Indian National Congress,138225,112438,81.30%,542,0.50%
Sidli,31,ST,Kokrajhar,Chandan Brahma,Bodaland Peoples Front,190029,154318,81.20%,8988,5.80%
Silchar,9,GEN,Cachar,Sri Dilip Kumar Paul,Bharatiya Janta Party,208409,155451,74.60%,39920,25.70%
Sipajhar,66,GEN,Darrang,Binanda Kumar Saikia,Bharatiya Janta Party,158293,135802,85.80%,12175,9.00%
Sonai,10,GEN,Cachar,Aminul Haque Laskar,Bharatiya Janta Party,158077,122173,77.30%,7553,6.20%
Sonari,106,GEN,Sibsagar,Topon Kumar Gogoi,Bharatiya Janta Party,151669,128202,84.50%,24117,18.80%
Sootea,75,GEN,Sonitpur,Padma Hazarika,Bharatiya Janta Party,158765,129761,81.70%,1818,1.40%
Sorbhog,40,GEN,Barpeta,Ranjeet Kumar Dass,Bharatiya Janta Party,195330,168218,86.10%,19526,11.60%
Tamulpur,58,GEN,Nalbari,Emmanuel Mosahary,Bodaland Peoples Front,177500,144365,81.30%,19947,13.80%
Teok,102,GEN,Jorhat,Renupoma Rajkhowa,Asom Gana Parisad,118374,93876,79.30%,5049,5.40%
Tezpur,73,GEN,Sonitpur,Brindaban Goswami,Asom Gana Parisad,164365,133896,81.50%,34663,25.90%
Thowra,107,GEN,Sibsagar,Kushal Dowari,Bharatiya Janta Party,99755,83960,84.20%,1226,1.50%
Tingkhong,119,GEN,Dibrugarh,Bimal Borah,Bharatiya Janta Party,122295,102425,83.80%,18338,17.90%
Tinsukia,122,GEN,Tinsukia,Sanjoy Kishan,Bharatiya Janta Party,144163,113857,79.00%,35069,30.80%
Titabar,100,GEN,Jorhat,Tarun Gogoi,Indian National Congress,136033,111778,82.20%,17495,15.70%
Udalguri,69,ST,Udalguri,Rihon Daimari,Bodaland Peoples Front,133923,107539,80.30%,24374,22.70%
Udharbond,12,GEN,Cachar,Mihir Kanti Shome,Bharatiya Janta Party,140607,110415,78.50%,8606,7.80%
